DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
29/03/2016,582.87,575.16,583.29,575.16,60286400
30/03/2016,573.58,577.11,579.97,572.16,42708337
31/03/2016,575.37,571.69,579.44,571.69,64086980
1/4/2016,570.7,568.27,572.17,566.81,44770586
4/4/2016,568.01,565.71,570.25,563.05,38108214
5/4/2016,565.59,570.43,570.43,565.37,48430815
6/4/2016,571.47,576.4,576.4,569.4,42451203
7/4/2016,577.88,579.28,580.37,575.09,40441224
8/4/2016,578.43,578.97,581.39,576.68,41831740
11/4/2016,580.79,586.78,588.42,580.65,52029130
12/4/2016,588.73,587.47,590.22,584.75,68316330
13/04/2016,587.94,584.63,589.03,582.4,44885692
14/04/2016,582.4,586.21,591.64,582.4,41275203
15/04/2016,586.27,584.47,591.76,584.47,36198250
19/04/2016,584.14,575.06,584.42,575.06,42722454
20/04/2016,575.42,575.35,578.65,572.14,42573255
21/04/2016,578.09,582.76,584.37,577.19,35603240
22/04/2016,582.43,595.38,595.48,581.72,48018250
25/04/2016,599.85,594.16,604.12,594.16,51867586
26/04/2016,593.35,601.27,601.27,593.35,72214832
27/04/2016,603.93,597.43,603.93,593.93,58323650
28/04/2016,597.87,595.63,600.36,593.46,35960850
29/04/2016,595.5,601.25,603.04,595.19,46455444
4/5/2016,600.63,602.57,606.88,597.4,56196770
5/5/2016,603.68,604.69,609.59,603.32,49503907
6/5/2016,604.96,607.55,610.19,604.7,42153450
9/5/2016,610.78,604.24,612.82,604.24,45611603
10/5/2016,601.23,604.56,605.37,597.91,46159652
11/5/2016,606.32,611.96,611.96,604.25,49787308
12/5/2016,613.32,612.04,615.57,611.39,32931690
13/05/2016,612.64,609.97,615.33,608.67,40834500
16/05/2016,612.03,615.17,615.89,608.96,39023820
17/05/2016,619.24,622.93,625.12,617.11,51613683
18/05/2016,625.18,623.92,628.3,622.71,59495005
19/05/2016,624.73,621.13,625.99,620.11,62641840
20/05/2016,621.34,616.4,623.19,615.91,55534510
23/05/2016,616.81,614.45,617.39,612.43,42706560
24/05/2016,616.33,614.62,616.45,611.94,49835230
25/05/2016,614.91,612.74,618.61,612.74,51533058
26/05/2016,613.05,607.16,615.94,607.16,45987420
27/05/2016,607.21,611,612.66,605.16,38558276
30/05/2016,612.4,616.73,617.43,611.83,41346280
31/05/2016,618.91,617.52,621.3,616.85,42808680
1/6/2016,617.69,619.38,620.19,617.02,40972759
2/6/2016,619.14,621.18,622.88,618.1,45318024
3/6/2016,622.07,621.05,622.65,619.15,43700532
6/6/2016,620.61,618.88,622.23,615.91,51579020
7/6/2016,620.96,624.01,624.01,619.59,40385150
8/6/2016,624.83,630.09,632.6,624.83,47259560
9/6/2016,630.34,630.66,631.73,627.29,39724640
10/6/2016,630.55,629.27,634.07,628.4,53564350
13/06/2016,626.68,621.75,626.92,620.36,46797747
14/06/2016,620.01,625.36,625.36,617.71,30760290
15/06/2016,624.66,624.19,625.8,621.06,43074700
16/06/2016,625.02,622.54,627.46,622.54,47138500
